Timestamp (UTC)	Timestamp (ms)	Comp1 time	Latitude	Longitude	Altitude
2016-11-09 19:33:18.077	1478719998077	19:33:18.000	35.765152	-120.769	217.9631
2016-11-09 19:33:19.091	1478719999091	19:33:19.000	35.76514	-120.769	217.98232
2016-11-09 19:33:20.085	1478720000085	19:33:20.000	35.765125	-120.76899	218.0004
2016-11-09 19:33:21.096	1478720001096	19:33:21.000	35.76511	-120.76899	218.01823
2016-11-09 19:33:22.088	1478720002088	19:33:22.000	35.7651	-120.76899	218.03432
2016-11-09 19:33:23.099	1478720003099	19:33:23.000	35.76508	-120.76898	218.04881
2016-11-09 19:33:24.101	1478720004101	19:33:24.000	35.76506	-120.76898	218.06827
2016-11-09 19:33:25.107	1478720005107	19:33:25.000	35.765045	-120.76899	218.09067
2016-11-09 19:33:26.066	1478720006066	19:33:26.000	35.765026	-120.76899	218.11157
2016-11-09 19:33:27.098	1478720007098	19:33:27.000	35.765007	-120.76899	218.12721
2016-11-09 19:33:28.09	1478720008090	19:33:28.000	35.764984	-120.76899	218.1423
2016-11-09 19:33:29.092	1478720009092	19:33:29.000	35.76497	-120.76899	218.15793
2016-11-09 19:33:30.099	1478720010099	19:33:30.000	35.764954	-120.769	218.17351
2016-11-09 19:33:31.072	1478720011072	19:33:31.000	35.76494	-120.769	218.1885
2016-11-09 19:33:32.097	1478720012097	19:33:32.000	35.76492	-120.769	218.20584
2016-11-09 19:33:33.096	1478720013096	19:33:33.000	35.7649	-120.769005	218.22383
2016-11-09 19:33:34.092	1478720014092	19:33:34.000	35.764885	-120.769005	218.24167
2016-11-09 19:33:35.081	1478720015081	19:33:35.000	35.76487	-120.769	218.25835
2016-11-09 19:33:36.064	1478720016064	19:33:36.000	35.76486	-120.769	218.27359
2016-11-09 19:33:37.099	1478720017099	19:33:37.000	35.76485	-120.769	218.28745
2016-11-09 19:33:38.088	1478720018088	19:33:38.000	35.764843	-120.769	218.29935
2016-11-09 19:33:39.11	1478720019110	19:33:39.000	35.76483	-120.76899	218.30977
2016-11-09 19:33:40.106	1478720020106	19:33:40.000	35.76482	-120.768974	218.32253
2016-11-09 19:33:41.105	1478720021105	19:33:41.000	35.76481	-120.76897	218.33807
2016-11-09 19:33:42.093	1478720022093	19:33:42.000	35.764793	-120.76896	218.35403
2016-11-09 19:33:43.081	1478720023081	19:33:43.000	35.764782	-120.76894	218.36835
2016-11-09 19:33:44.08	1478720024080	19:33:44.000	35.76477	-120.76892	218.38158
2016-11-09 19:33:45.069	1478720025069	19:33:45.000	35.76476	-120.76891	218.39445
2016-11-09 19:33:46.079	1478720026079	19:33:46.000	35.764744	-120.76889	218.40648
2016-11-09 19:33:47.1	1478720027100	19:33:47.000	35.764732	-120.768875	218.41551
2016-11-09 19:33:48.101	1478720028101	19:33:48.000	35.76472	-120.768845	218.42673
